,qmof_id,pld,density,volume,ddec_charge_i,ddec_charge_j,distance,atom_i,atom_j,V
1,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297568,4.262269,Cu,S,0.076
2,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297531,4.519819,Cu,S,0.32
3,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389887,4.676169,Cu,Br,-0.615
4,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389836,4.704777,Cu,Br,-0.5561
5,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.234366,5.058731,Cu,Cu,0.141
7,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297568,8.449849,Cu,S,0.0547
8,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389887,8.58847,Cu,Br,-0.0722
9,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389836,8.696982,Cu,Br,0.0221
10,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297531,9.067107,Cu,S,-0.0136
11,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.23439,10.498118,Cu,Cu,-0.0239
12,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.095005,15.719047,Cu,Br,-0.0221
13,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389914,16.057273,Cu,Br,-0.0639
14,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297412,16.145376,Cu,S,-0.0393
17,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.38991,17.598893,Cu,S,-0.0207
18,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297412,18.073327,Cu,S,-0.0109
19,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.389914,18.267185,Cu,Br,-0.0337
20,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.234423,19.121432,Cu,Cu,-0.0245
21,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297503,19.658506,Cu,Cu,-0.0248
22,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,-0.297503,19.659449,Cu,Cu,-0.0248
23,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.23439,0.234423,21.519981,Cu,Cu,-0.0228
25,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.297412,4.262174,Cu,S,0.0761
26,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.38991,4.519567,Cu,S,0.3202
27,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,0.095005,4.675583,Cu,Br,-0.6148
28,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.389914,4.704624,Cu,Br,-0.556
29,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.297503,5.05828,Cu,Cu,0.1411
31,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.297412,8.450163,Cu,S,0.0548
32,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,0.095005,8.588435,Cu,Br,-0.0722
33,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.389914,8.697469,Cu,Br,0.0222
34,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.38991,9.067313,Cu,S,-0.0136
35,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,0.234423,10.498118,Cu,Cu,-0.0243
36,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.389887,15.720679,Cu,Br,-0.0221
37,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.389836,16.057942,Cu,Br,-0.0639
38,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.297568,16.143408,Cu,S,-0.0394
41,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.297531,17.598198,Cu,S,-0.0207
42,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.297568,18.071322,Cu,S,-0.0109
43,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,-0.389836,18.267578,Cu,Br,-0.0337
44,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,0.23439,19.121432,Cu,Cu,-0.0245
45,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,0.234366,19.658963,Cu,Cu,-0.0248
46,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,0.234366,19.660472,Cu,Cu,-0.0249
47,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234423,0.23439,21.519981,Cu,Cu,-0.0228
49,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.297531,4.262359,Cu,S,0.076
50,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.297568,4.519816,Cu,S,0.3202
51,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.389836,4.675656,Cu,Br,-0.6149
52,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.389887,4.704798,Cu,Br,-0.5561
53,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,0.23439,5.058731,Cu,Cu,0.141
55,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.297531,8.449786,Cu,S,0.0547
56,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.389836,8.588672,Cu,Br,-0.0722
57,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.389887,8.697469,Cu,Br,0.0221
58,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.297568,9.067005,Cu,S,-0.0136
59,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,0.234366,10.498118,Cu,Cu,-0.0239
60,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.389914,15.719369,Cu,Br,-0.0221
61,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,0.095005,16.057086,Cu,Br,-0.064
62,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.38991,16.144487,Cu,S,-0.0394
65,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.297412,17.599548,Cu,S,-0.0207
66,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.38991,18.072223,Cu,S,-0.0109
67,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,0.095005,18.266767,Cu,Br,-0.0337
68,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.297503,19.121851,Cu,Cu,-0.0245
69,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,0.234423,19.658963,Cu,Cu,-0.0248
70,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,0.234423,19.660472,Cu,Cu,-0.0249
71,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.234366,-0.297503,21.520516,Cu,Cu,-0.0228
73,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.38991,4.262137,Cu,S,0.0761
74,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.297412,4.519847,Cu,S,0.3199
75,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.389914,4.676198,Cu,Br,-0.615
76,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,0.095005,4.705002,Cu,Br,-0.556
77,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,0.234423,5.05828,Cu,Cu,0.1411
79,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.38991,8.449895,Cu,S,0.0548
80,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.389914,8.587823,Cu,Br,-0.0723
81,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,0.095005,8.696739,Cu,Br,0.0222
82,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.297412,9.06722,Cu,S,-0.0135
83,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.297503,10.498118,Cu,Cu,-0.0243
84,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.389836,15.719746,Cu,Br,-0.0222
85,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.389887,16.058659,Cu,Br,-0.0639
86,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.297531,16.143691,Cu,S,-0.0393
89,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.297568,17.597867,Cu,S,-0.0207
90,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.297531,18.071331,Cu,S,-0.0109
91,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,-0.389887,18.268627,Cu,Br,-0.0337
92,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,0.234366,19.121851,Cu,Cu,-0.0245
93,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,0.23439,19.658506,Cu,Cu,-0.0248
94,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,0.23439,19.659449,Cu,Cu,-0.0248
95,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297503,0.234366,21.520516,Cu,Cu,-0.0228
97,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,0.23439,4.262269,S,Cu,0.076
98,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,0.234366,4.519816,S,Cu,0.3202
99,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.389836,7.054175,S,Br,0.0715
100,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.297531,7.18341,S,S,-0.0793
101,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.389836,7.296319,S,Br,0.0569
103,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.389887,7.794346,S,Br,-0.0801
104,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,0.23439,8.449849,S,Cu,0.0547
105,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,0.234366,9.067005,S,Cu,-0.0136
106,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.297568,10.498118,S,S,0.0488
107,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,0.095005,12.268831,S,Br,-0.0485
108,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.297531,12.37987,S,S,-0.0332
109,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,0.095005,15.705788,S,Br,-0.0287
110,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,0.234423,16.143408,S,Cu,-0.0394
112,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.38991,16.567271,S,S,-0.0336
113,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.38991,16.568115,S,S,-0.0336
114,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.297412,17.573608,S,S,-0.0107
115,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,-0.297503,17.597867,S,Cu,-0.0207
117,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297568,0.234423,18.071322,S,Cu,-0.0109
121,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,0.234423,4.262174,S,Cu,0.0761
122,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.297503,4.519847,S,Cu,0.3199
123,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.389914,7.054702,S,Br,0.0714
124,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.38991,7.183401,S,S,-0.0793
125,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.389914,7.29573,S,Br,0.0569
127,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,0.095005,7.793481,S,Br,-0.0802
128,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,0.234423,8.450163,S,Cu,0.0548
129,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.297503,9.06722,S,Cu,-0.0135
130,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.297412,10.498118,S,S,0.0488
131,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.389887,12.270388,S,Br,-0.0485
132,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.38991,12.37987,S,S,-0.0332
133,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.389887,15.706564,S,Br,-0.0287
134,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,0.23439,16.145376,S,Cu,-0.0393
136,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.297531,16.56719,S,S,-0.0336
137,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.297531,16.569004,S,S,-0.0336
138,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,-0.297568,17.573608,S,S,-0.0107
139,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,0.234366,17.599548,S,Cu,-0.0207
141,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297412,0.23439,18.073327,S,Cu,-0.0109
145,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,0.234366,4.262359,S,Cu,0.076
146,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,0.23439,4.519819,S,Cu,0.32
147,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.389887,7.05456,S,Br,0.0715
148,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.297568,7.18341,S,S,-0.0793
149,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.389887,7.296251,S,Br,0.0569
151,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.389836,7.793738,S,Br,-0.0802
152,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,0.234366,8.449786,S,Cu,0.0547
153,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,0.23439,9.067107,S,Cu,-0.0136
154,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.297531,10.498118,S,S,0.0488
155,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.389914,12.268912,S,Br,-0.0485
156,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.297568,12.37987,S,S,-0.0332
157,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.389914,15.705614,S,Br,-0.0287
158,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.297503,16.143691,S,Cu,-0.0393
160,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.297412,16.56719,S,S,-0.0336
161,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.297412,16.569004,S,S,-0.0336
162,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.38991,17.574042,S,S,-0.0107
163,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,0.234423,17.598198,S,Cu,-0.0207
165,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.297531,-0.297503,18.071331,S,Cu,-0.0109
169,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.297503,4.262137,S,Cu,0.0761
170,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,0.234423,4.519567,S,Cu,0.3202
171,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,0.095005,7.054274,S,Br,0.0714
172,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.297412,7.183401,S,S,-0.0793
173,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,0.095005,7.29672,S,Br,0.0568
175,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.389914,7.794372,S,Br,-0.0801
176,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.297503,8.449895,S,Cu,0.0548
177,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,0.234423,9.067313,S,Cu,-0.0136
178,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.38991,10.498118,S,S,0.0488
179,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.389836,12.269707,S,Br,-0.0485
180,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.297412,12.37987,S,S,-0.0332
181,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.389836,15.706652,S,Br,-0.0287
182,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,0.234366,16.144487,S,Cu,-0.0394
184,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.297568,16.567271,S,S,-0.0336
185,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.297568,16.568115,S,S,-0.0336
186,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,-0.297531,17.574042,S,S,-0.0107
187,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,0.23439,17.598893,S,Cu,-0.0207
189,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.38991,0.234366,18.072223,S,Cu,-0.0109
193,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,0.234366,4.675656,Br,Cu,-0.615
194,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,0.23439,4.704777,Br,Cu,-0.5561
195,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,-0.297568,7.054175,Br,S,0.0715
196,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,-0.297568,7.296319,Br,S,0.0569
198,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,-0.389887,7.589679,Br,Br,-0.0403
199,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,-0.297531,7.793738,Br,S,-0.0802
200,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,0.234366,8.588672,Br,Cu,-0.0722
201,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,0.23439,8.696982,Br,Cu,0.0222
203,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,-0.38991,12.269707,Br,S,-0.0485
204,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,-0.389887,12.892106,Br,Br,0.016
205,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,-0.38991,15.706652,Br,S,-0.0287
206,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,-0.297503,15.719746,Br,Cu,-0.0221
207,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,0.234423,16.057942,Br,Cu,-0.0639
209,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,-0.389914,16.72058,Br,Br,-0.0272
211,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,0.095005,17.241385,Br,Br,-0.0655
212,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,0.095005,17.242689,Br,Br,-0.0655
214,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389836,0.234423,18.267578,Br,Cu,-0.0337
217,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.297503,4.676198,Br,Cu,-0.615
218,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,0.234423,4.704624,Br,Cu,-0.556
219,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.297412,7.054702,Br,S,0.0714
220,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.297412,7.29573,Br,S,0.0569
222,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,0.095005,7.589342,Br,Br,-0.0404
223,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.38991,7.794372,Br,S,-0.0801
224,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.297503,8.587823,Br,Cu,-0.0723
225,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,0.234423,8.697469,Br,Cu,0.0222
227,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.297531,12.268912,Br,S,-0.0485
228,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,0.095005,12.891712,Br,Br,0.016
229,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.297531,15.705614,Br,S,-0.0287
230,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,0.234366,15.719369,Br,Cu,-0.0221
231,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,0.23439,16.057273,Br,Cu,-0.0639
233,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.389836,16.72058,Br,Br,-0.0272
235,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.389887,17.241351,Br,Br,-0.0655
236,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,-0.389887,17.242825,Br,Br,-0.0655
238,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389914,0.23439,18.267185,Br,Cu,-0.0337
241,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,0.23439,4.676169,Br,Cu,-0.615
242,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,0.234366,4.704798,Br,Cu,-0.5561
243,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.297531,7.05456,Br,S,0.0715
244,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.297531,7.296251,Br,S,0.0569
246,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.389836,7.589679,Br,Br,-0.0403
247,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.297568,7.794346,Br,S,-0.0801
248,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,0.23439,8.58847,Br,Cu,-0.0722
249,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,0.234366,8.697469,Br,Cu,0.0221
251,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.297412,12.270388,Br,S,-0.0485
252,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.389836,12.892106,Br,Br,0.016
253,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.297412,15.706564,Br,S,-0.0287
254,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,0.234423,15.720679,Br,Cu,-0.0221
255,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.297503,16.058659,Br,Cu,-0.0639
257,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,0.095005,16.720524,Br,Br,-0.0272
259,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.389914,17.241351,Br,Br,-0.0655
260,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.389914,17.242825,Br,Br,-0.0655
262,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,-0.389887,-0.297503,18.268627,Br,Cu,-0.0337
265,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,0.234423,4.675583,Br,Cu,-0.6148
266,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.297503,4.705002,Br,Cu,-0.556
267,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.38991,7.054274,Br,S,0.0714
268,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.38991,7.29672,Br,S,0.0568
270,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.389914,7.589342,Br,Br,-0.0404
271,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.297412,7.793481,Br,S,-0.0802
272,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,0.234423,8.588435,Br,Cu,-0.0722
273,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.297503,8.696739,Br,Cu,0.0222
275,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.297568,12.268831,Br,S,-0.0485
276,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.389914,12.891712,Br,Br,0.016
277,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.297568,15.705788,Br,S,-0.0287
278,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,0.23439,15.719047,Br,Cu,-0.0221
279,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,0.234366,16.057086,Br,Cu,-0.064
281,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.389887,16.720524,Br,Br,-0.0272
283,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.389836,17.241385,Br,Br,-0.0655
284,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,-0.389836,17.242689,Br,Br,-0.0655
286,qmof-0091bbc,3.81269,1.592058499852952,1170.8964439673534,0.095005,0.234366,18.266767,Br,Cu,-0.0337
297,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,2.376079,2.376464,6.687447,Zr,Zr,0.0639
298,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,2.376079,2.376313,6.692044,Zr,Zr,0.0623
299,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,2.376079,2.376101,6.693009,Zr,Zr,0.0622
300,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,2.376079,2.37558,6.710669,Zr,Zr,0.061
305,qmof-00c8700,5.15664,0.7456257879349211,4534.52048486268,2.376079,-1.083033,7.241603,Zr,O,0.0288
